Date,Exercise,Time(hours)
01/10/2024,Stability Ball Dead Bug,2
02/10/2024,Bodyweight Glute Bridge,3
03/10/2024,Bodyweight Bird Dog,2
04/10/2024,Stability Ball Russian Twist ,1
05/10/2024,Stability Ball Feet Elevated Crunch ,2
06/10/2024,Ring Hanging Knee Raise ,1
07/10/2024,Parallette Mountain Climber,1
08/10/2024,Parallette Push Up,2
09/10/2024,Bodyweight Knee Hover Bird Dog,3
10/10/2024,Stability Ball V Up Pass,2
11/10/2024,Bodyweight Dead Bug,2
12/10/2024,Bodyweight Alternating Heel Taps,2
13/10/2024,Bodyweight Flutter Kicks,1
14/10/2024,Bodyweight Kneeling Forearm Plank,2
15/10/2024,Bodyweight Seated Ab Circles,1
16/10/2024,Ring Hanging Oblique Knee Raise,3
17/10/2024,Stability Ball Stir The Pot,3
18/10/2024,Bodyweight Alternating Side Kick Through,2
19/10/2024,Ring L Sit Hang Flutter Kicks ,1
20/10/2024,Slam Ball Russian Twist,2
21/10/2024,Dumbbell Otis Up,2
22/10/2024,Single Arm Dumbbell Side Plank Reach Through ,3
23/10/2024,Ab Wheel Kneeling Rollout,5
24/10/2024,Cable Seated Crunch,4
25/10/2024,Cable Kneeling Crunch,2
26/10/2024,Medicine Ball V Up,3
27/10/2024,Suspension Knee Tuck,2
28/10/2024,Suspension Lateral Knee Tuck,4
29/10/2024,Bodyweight Push Up to Alternating Kick Through,1
30/10/2024,Single Arm Dumbbell Turkish Get Up,2
31/10/2024,Bodyweight Bear Crawl,3
